threshold,accuracy,weighted_f1,large_usage,avg_cost,cost_reduction
0.125,0.876265466816648,0.8761440821052235,0.9810380845251486,24.544914028603568,0.01820343885585729
0.13,0.876265466816648,0.8761440821052235,0.9670576892174193,24.209384541218064,0.03162461835127739
0.135,0.876265466816648,0.8761440821052235,0.9461674433552949,23.708018640527076,0.05167925437891696
0.14,0.8765868552145267,0.8764617057694927,0.9231881729069581,23.156516149766993,0.0737393540093203
0.145,0.8765868552145267,0.8764617057694927,0.8929776635063474,22.43146392415234,0.10274144303390642
0.15,0.8765868552145267,0.8764546674253433,0.8642134018961916,21.7411216455086,0.13035513417965605
0.155,0.8767475494134662,0.8766164040341367,0.8354491402860357,21.05077936686486,0.15796882532540568
0.16,0.8765868552145267,0.8764547029171509,0.8119877872408806,20.487706893781134,0.1804917242487547
0.165,0.8764261610155873,0.8762978541999816,0.7899726819861803,19.959344367668326,0.20162622529326701
0.17,0.8767475494134662,0.8766121349862072,0.7682789651293588,19.43869516310461,0.22245219347581557
0.17500000000000002,0.8764261610155873,0.8762793662728678,0.7481921902619315,18.956612566286356,0.2417354973485457
0.18,0.8761047726177085,0.8759609633388163,0.7303551341796561,18.528523220311747,0.25885907118753015
0.185,0.8756226900208902,0.8754759439022761,0.713803631688896,18.131287160533503,0.2747485135786598
0.19,0.8756226900208902,0.8754759209938922,0.6974128233970753,17.737907761529808,0.29048368953880765
0.195,0.8756226900208902,0.8754759209938922,0.6848786758798008,17.437088221115218,0.30251647115539126
0.2,0.8757833842198297,0.8756288086100856,0.6705768921741925,17.09384541218062,0.3162461835127752
0.20500000000000002,0.8759440784187691,0.875781760816956,0.6582034388558573,16.796882532540575,0.328124698698377
0.21,0.8759440784187691,0.875781760816956,0.6440623493491885,16.457496384380523,0.34170014462477905
0.215,0.8759440784187691,0.8757838664411658,0.6299212598425197,16.118110236220474,0.3552755905511811
0.22,0.8757833842198297,0.8756196338487017,0.6181905833199421,15.836573999678611,0.3665370400128556
0.225,0.8754619958219508,0.87530445092008,0.6082275429856983,15.597461031656758,0.37610155873372964
0.23,0.875140607424072,0.8749734698680349,0.5976217258556966,15.342921420536719,0.3862831431785313
0.23500000000000001,0.8748192190261932,0.874658276319834,0.5878193797203921,15.10766511328941,0.3956933954684235
0.24,0.8743371364293749,0.8741812331965242,0.5793025871766029,14.903262092238469,0.4038695163104612
0.245,0.8732122770367989,0.8730749959338396,0.567411216455086,14.617869194922063,0.4152852322031175
0.25,0.8730515828378596,0.872916641124811,0.5596978949059939,14.432749477743853,0.4226900208902459
0.255,0.8728908886389202,0.872755645844434,0.5506990197653865,14.216776474369276,0.431328941025229
0.26,0.8728908886389202,0.8727590485052474,0.544753334404628,14.074080025711073,0.4370367989715571
0.265,0.8736943596336172,0.8735630661364845,0.5370400128555359,13.888960308532862,0.44444158765868547
0.27,0.8732122770367989,0.8730872190610857,0.5283625261128073,13.680700626707376,0.45277197493170496
0.275,0.8730515828378596,0.8729253191278974,0.5216133697573517,13.518720874176442,0.4592511650329424
0.28,0.8728908886389202,0.8727739848312037,0.5163104611923509,13.391451068616423,0.4643419572553431
0.28500000000000003,0.8727301944399807,0.8726237330248623,0.510525470030532,13.252611280732767,0.4698955487706893
0.29,0.8724088060421019,0.8722994648581677,0.5057046440623494,13.136911457496385,0.47452354170014455
0.295,0.8725695002410413,0.8724682766858617,0.5012052064920456,13.028924955809094,0.4788430017676363
0.3,0.8719267234452837,0.871811812016402,0.495580909529166,12.893941828699985,0.48424232685200064
0.305,0.8714446408484654,0.8713293546095665,0.49108147195886226,12.785955327012694,0.48856178691949226
0.31,0.8714446408484654,0.8713325669440906,0.48658203438855857,12.677968825325406,0.49288124698698377
0.315,0.8709625582516471,0.8708600881410701,0.48224329101719426,12.573838984412662,0.49704644062349357
0.32,0.8708018640527077,0.8706974131643969,0.47758315924795114,12.461995821950827,0.5015201671219669
0.325,0.8704804756548289,0.8703761353815224,0.47147677968825324,12.31544271251808,0.5073822914992768
0.33,0.8704804756548289,0.8703761353815224,0.4664952595211313,12.19588622850715,0.5121645508597139
0.335,0.8703197814558894,0.8702112023124992,0.4615137393540093,12.076329744496224,0.5169468102201511
0.34,0.8703197814558894,0.8702139999339377,0.459103326369918,12.018479832878032,0.5192608066848787
0.34500000000000003,0.8698376988590711,0.8697372154577292,0.4542825004017355,11.902780009641653,0.5238887996143339
0.35000000000000003,0.8698376988590711,0.8697470394009363,0.451390004820826,11.833360115699824,0.526665595372007
0.355,0.8698376988590711,0.869749994487454,0.4480154266430982,11.752370239434358,0.5299051904226257
0.36,0.8698376988590711,0.8697597513236627,0.4435159890727945,11.644383737747068,0.5342246504901172
0.365,0.8698376988590711,0.8697566190427135,0.4398200224971879,11.55568053993251,0.5377727784026995
0.37,0.8698376988590711,0.8697604039941147,0.43451711393218706,11.42841073437249,0.5428635706251004
0.375,0.8693556162622529,0.8692780236028127,0.4303390647597622,11.328137554234292,0.5468744978306284
0.38,0.8690342278643741,0.868958966640537,0.42567893299051907,11.216294391772458,0.5513482243291017
0.385,0.8691949220633135,0.8691170494807956,0.4219829664149124,11.127591193957898,0.5548963522416841
0.39,0.8688735336654346,0.868797671951736,0.41796561144142697,11.031174674594247,0.5587530130162301
0.395,0.8685521452675559,0.8684744188683541,0.4137875622690021,10.93090149445605,0.562763940221758
0.4,0.8680700626707376,0.8680001972494182,0.40993090149445605,10.838341635866946,0.5664663345653221
0.405,0.8679093684717981,0.8678313236465632,0.4051100755262735,10.722641812630563,0.5710943274947775
0.41000000000000003,0.8672665916760405,0.8671966678651932,0.40077133215490923,10.618511971717822,0.5752595211312871
0.41500000000000004,0.8667845090792222,0.8667095751886787,0.39739675397718144,10.537522095452355,0.5784991161819057
0.42,0.8661417322834646,0.8660618867004432,0.3938614816005142,10.452675558412341,0.5818929776635063
0.425,0.8659810380845252,0.8658828055402201,0.3901655150249076,10.363972360597781,0.5854411055760887
0.43,0.8658203438855857,0.865723563218537,0.38630885425036154,10.271412502008678,0.5891434999196529
0.435,0.8651775670898281,0.8650787708661699,0.3821308050779367,10.17113932187048,0.5931544271251807
0.44,0.8646954844930098,0.8645926004250621,0.37907761529808776,10.097862767154105,0.5960854893138359
0.445,0.8638920134983127,0.8637968469461714,0.37506026032460227,10.001446247790454,0.5999421500883818
0.45,0.8634099309014944,0.8633276315146147,0.37023943435641976,9.885746424554075,0.604570143017837
0.455,0.8630885425036157,0.863003125089351,0.3671862445765708,9.812469869837699,0.6075012052064921
0.46,0.8624457657078579,0.8623539305515028,0.36316888960308535,9.716053350474049,0.6113578659810381
0.465,0.8621243773099792,0.8620398123535249,0.3594729230274787,9.627350152659488,0.6149059938936204
0.47000000000000003,0.8614816005142214,0.8614076137790883,0.35545556805399325,9.530933633295838,0.6187626546681665
0.47500000000000003,0.8611602121163426,0.8610891434422846,0.35288446087096254,9.469227060903101,0.6212309175638759
0.48,0.8605174353205849,0.8604541770531388,0.3491884942953559,9.380523863088541,0.6247790454764584
0.485,0.8603567411216455,0.8602949247546895,0.3464566929133858,9.314960629921261,0.6274015748031496
0.49,0.859392575928009,0.8593486037251288,0.3409930901494456,9.183834163586694,0.6326466334565323
0.495,0.8592318817290696,0.859190689528925,0.3390647597621726,9.137554234292143,0.6344978306283142
0.5,0.8595532701269484,0.8595201605501488,0.33681504097702075,9.083560983448498,0.6366575606620601
0.505,0.859392575928009,0.8593576274545057,0.33440462799292947,9.025711071830306,0.6389715571267878
0.51,0.8592318817290696,0.8592023499010012,0.33151213241201993,8.95629117788848,0.6417483528844607
0.515,0.8592318817290696,0.8592045232957477,0.3279768600353527,8.871444640848464,0.6451422143660615
0.52,0.8585891049333119,0.8585470495454361,0.3250843644544432,8.802024746906637,0.6479190101237344
0.525,0.8582677165354331,0.8582302118967678,0.3225132572714125,8.7403181745139,0.650387273019444
0.53,0.8589104933311907,0.8588721852449375,0.3191386790936847,8.659328298248433,0.6536268680700628
0.535,0.8576249397396754,0.8576018188270083,0.3151213241201993,8.562911778884782,0.6574835288446087
0.54,0.8573035513417966,0.857293383022147,0.31222882853928974,8.493491884942953,0.6602603246022818
0.545,0.8571428571428571,0.8571256330576775,0.3086935561626225,8.40864534790294,0.6636541860838824
0.55,0.8563393861481601,0.8563162832460851,0.3046762011891371,8.31222882853929,0.6675108468584284
0.555,0.8565000803470995,0.8564812092175006,0.30242648240398523,8.258235577695645,0.6696705768921742
0.56,0.8568214687449783,0.856805553591063,0.29905190422625744,8.177245701430179,0.6729101719427928
0.5650000000000001,0.8565000803470995,0.8565112496881162,0.2955166318495902,8.092399164390166,0.6763040334243934
0.5700000000000001,0.8565000803470995,0.856521854795817,0.29230274787080185,8.015265948899245,0.6793893620440302
0.5750000000000001,0.8563393861481601,0.8563571307963044,0.28989233488671057,7.957416037281054,0.6817033585087579
0.58,0.8560179977502812,0.8560268740262595,0.2869998393058011,7.887996143339226,0.6844801542664309
0.585,0.8553752209545236,0.8554007364889685,0.2847501205206492,7.8340028924955805,0.6866398843001769
0.59,0.8545717499598264,0.8546067195435975,0.28250040173549734,7.780009641651937,0.6887996143339226
0.595,0.8542503615619477,0.8542847132715847,0.27976860035352724,7.714446408484654,0.6914221436606138
0.6,0.8537682789651294,0.853805776785864,0.2765547163747389,7.637313192993733,0.6945074722802507
0.605,0.8534468905672505,0.8534817697717874,0.27366222079382935,7.567893299051905,0.6972842680379239
0.61,0.852482725373614,0.8525224795388321,0.2701269484171621,7.483046762011891,0.7006781295195244
0.615,0.8523220311746746,0.8523630316539905,0.2661095934436767,7.38663024264824,0.7045347902940704
0.62,0.8516792543789169,0.8517349026993573,0.2633777920617066,7.321067009480958,0.7071573196207617
0.625,0.8508757833842199,0.8509275937692684,0.25968182548609997,7.232363811666399,0.7107054475333441
0.63,0.8510364775831593,0.8511083006835037,0.2569500241041298,7.166800578499116,0.7133279768600354
0.635,0.8503937007874016,0.8504725909730169,0.2545396111200386,7.108950666880927,0.715641973324763
0.64,0.8495902297927045,0.849676070238967,0.25164711553912905,7.039530772939097,0.7184187690824362
0.645,0.8494295355937651,0.8495301256474785,0.24891531415715892,6.973967539771814,0.7210412984091275
0.65,0.8487867587980074,0.8488951447635165,0.24554073597943113,6.892977663506347,0.7242808934597461
0.655,0.8484653704001286,0.8485725558135568,0.24216615780170336,6.811987787240881,0.7275204885103648
0.66,0.8476618994054315,0.8477820930558143,0.2379881086292785,6.711714607102683,0.7315314157158926
0.665,0.8476618994054315,0.8477929051838563,0.23509561304836896,6.642294713160855,0.7343082114735657
0.67,0.8468584284107343,0.8469812725544019,0.22979270448336814,6.515024907600835,0.7393990036959666
0.675,0.8458942632170978,0.8460258138929684,0.22593604370882212,6.4224650490117305,0.7431013980395308
0.68,0.8447694038245219,0.8448983015663355,0.2214366061385184,6.314478547324441,0.7474208581070223
0.685,0.843644544431946,0.8438030529085093,0.2161336975735176,6.187208741764423,0.7525116503294231
0.6900000000000001,0.8431624618351278,0.8433422546660942,0.2116342600032139,6.079222240077134,0.7568311103969146
0.6950000000000001,0.8420376024425518,0.8422181621953594,0.20665273983609192,5.959665756066206,0.7616133697573517
0.7000000000000001,0.841716214044673,0.841912240238526,0.2029567732604853,5.870962558251647,0.7651614976699341
0.705,0.8409127430499759,0.8411104314213501,0.198618029889121,5.766832717338904,0.7693266913064438
0.71,0.8407520488510365,0.8409406957180467,0.19476136911457495,5.674272858749799,0.773029085650008
0.715,0.8381809416680058,0.8384155656106099,0.1864052707697252,5.473726498473405,0.7810509400610638
0.72,0.8368953880764904,0.8371555490965199,0.18062027960790616,5.334886710589748,0.7866045315764101
0.725,0.8360919170817933,0.8363356043384234,0.17354973485457176,5.165193636509722,0.7933922545396112
0.73,0.8346456692913385,0.8349238995469531,0.16583641330547969,4.980073919331513,0.8007970432267395
0.735,0.830949702715732,0.8312986255930396,0.15683753816487225,4.764100915956934,0.8094359633617226
0.74,0.829021372328459,0.8293990115826302,0.15137393540093202,4.632974449622369,0.8146810220151053
0.745,0.8270930419411859,0.8274854977532898,0.14205367186244577,4.409288124698699,0.823628475012052
0.75,0.8254860999517918,0.8259119248390693,0.1362686807006267,4.270448336815041,0.8291820665273983
0.755,0.824039852161337,0.8245064749928037,0.12839466495259522,4.081471958862285,0.8367411216455086
